name,date,author,risk_score,severity,tactic,technique,subtechnique
Bat files observed in HTTP Traffic on Unusual Port ,2025/4/22,['han chang '],100,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
Data Exfiltration Observed via FTP,2025/4/22,['han chang'],75,high,Exfiltration,T1020 - Automated Exfiltration,none - none
PowerShell Invoke-WebRequest Downloading .BAT File,2025/05/11,['hanchang'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Potential MSF PowerShell Payload Observed,2023/4/22,['han chang'],50,high,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Data Archive for Potential Exfil,2025/4/22,['han'],50,medium,Collection,T1074 - Data Staged,T1074.001 - Local Data Staging
PowerShell Execution via a BAT File,2025/04/22,['hanchangzo'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Suspicious File Added to Registry,2025/05/11,['han chang'],75,high,Persistence,T1547 - Boot or Logon Autostart Execution,T1547.001 - Registry Run Keys / Startup Folder
Excessive Web Traffic,2025/4/22,['han chang'],25,low,Discovery,T1046 - Network Service Discovery,none - none
Web Scanner Activity - Nmap and Nikto,2025/05/11,['han chang'],25,low,Discovery,T1046 - Network Service Discovery,none - none
Suspicious File Written to Temp Directory,2025/05/11,['hanchang'],75,high,Discovery; Discovery,T1082 - System Information Discovery; T1217 - Browser Information Discovery,none - none; none - none
